能,ability,ㄋㄥˊ,néng,戈月心心,"to be able; can, permitted to; ability",可能 功能 能夠,ㄎㄜˇㄋㄥˊ  ㄍㄨㄥ ㄋㄥˊ  ㄋㄥˊㄍㄡ`,kěnéng gōngnéng nénggòu,,1432,30
如,be like,ㄖㄨˊ,rú,女口,"if, supposing; as if; like, as",如果 比如 不如,ㄖㄨˊㄍㄨㄛˇ  ㄅㄧˇㄖㄨˊ  ㄅㄨ`ㄖㄨˊ,rúguǒ bǐrú bùrú,,98,31
士,soldier,ㄕ`,shì,十一,"scholar, gentleman; soldier",護士 巴士 博士,ㄏㄨ`ㄕ˙  ㄅㄚ ㄕ`  ㄅㄛˊㄕ`,hùshi bāshì bóshì,,307,330
寸,Chinese inch,ㄘㄨㄣ`,cùn,木戈,"inch; small, tiny; KangXi radical 41",尺寸 分寸,ㄔˇㄘㄨㄣ˙  ㄈㄣ ㄘㄨㄣ˙,chǐcun fēncun,,153,2017
寺,Buddhist temple,ㄙ`,sì,土木戈,"court, office; temple, monastery",寺廟,ㄙ`ㄇㄧㄠ`,sìmiào,,155,2283
時,time,ㄕˊ,shí,日土木戈,"time, season; era, age, period",時候 小時 有時候,ㄕˊㄏㄡ˙  ㄒㄧㄠˇㄕˊ  ㄧㄡˇㄕˊㄏㄡ˙,shíhou xiǎoshí yǒushíhou,时,156,32
文,literature,ㄨㄣˊ,wén,卜大,"literature, culture, writing",英文 華文 中文,ㄧㄥ ㄨㄣˊ  ㄏㄨㄚˊㄨㄣˊ  ㄓㄨㄥ ㄨㄣˊ,Yīngwén Huáwén Zhōngwén,,1270,33
水,water,ㄕㄨㄟˇ,shuǐ,水,"water, liquid, lotion, juice",水果 開水 汽水,ㄕㄨㄟˇㄍㄨㄛˇ  ㄎㄞ ㄕㄨㄟˇ  ㄑㄧ`ㄕㄨㄟˇ,shuǐguǒ kāishuǐ qìshuǐ,,126,204
兄,elder brother,ㄒㄩㄥ,xiōng,口竹山,elder brother,兄弟 弟兄,ㄒㄩㄥ ㄉㄧ`  ㄉㄧ`ㄒㄩㄥ˙,xiōngdì dìxiong,,101,399
允,consent,ㄩㄣˇ,yǔn,戈竹山,"to grant, to allow, to consent",允許,ㄩㄣˇㄒㄩˇ,yǔnxǔ,,1861,1947
兌,convert,ㄉㄨㄟ`,duì,金口竹山,"cash; exchange, barter; weight",兌現,ㄉㄨㄟ`ㄒㄧㄢ`,duìxiàn,兑,467,3325
說,speak,ㄕㄨㄛ,shuō,卜口金口山,"speak, say, talk; scold, upbraid",說話 小說 聽說,ㄕㄨㄛ ㄏㄨㄚ`  ㄒㄧㄠˇㄕㄨㄛ   ㄊㄧㄥ ㄕㄨㄛ ,shuōhuà xiǎoshuō tīngshuō,说,469,34
沒,not have,ㄇㄟˊ,méi,水弓水,"not, have not, none; to drown, sink",沒關係 沒有 沒什麼,ㄇㄟˊㄍㄨㄢ ㄒㄧ˙  ㄇㄟˊㄧㄡˇ  ㄇㄟˊㄕㄣˊㄇㄜ˙,méiguānxi méiyǒu méishénme,没,598,35
它,it,ㄊㄚ,tā,十心,it; other,它們,ㄊㄚ ㄇㄣ˙,tāmen,,428,243
他,he,ㄊㄚ,tā,人心木,"other, another; he, she, it",他們 吉他 其他,ㄊㄚ ㄇㄣ˙  ㄐㄧˊㄊㄚ   ㄑㄧˊㄊㄚ ,tāmen jítā qítā,,752,36
看,look at,ㄎㄢ`,kàn,竹手月山,"look, see; examine, scrutinize",好看 看病 看見,ㄏㄠˇㄎㄢ`  ㄎㄢ`ㄅㄧㄥ`  ㄎㄢ`ㄐㄧㄢ`,hǎokàn kànbìng kànjiàn,,549,37
那,that,ㄋㄚ`,nà,尸手弓中,"that, that one, those",那裡 那兒 那些,ㄋㄚ`ㄌㄧ˙  ㄋㄚ`ㄦ˙  ㄋㄚ`ㄒㄧㄝ ,nàli nàr nàxiē,,1458,38
門,gate,ㄇㄣˊ,mén,日弓,"gate, door, entrance, opening",門口 部門 出門,ㄇㄣˊㄎㄡˇ  ㄅㄨ`ㄇㄣˊ  ㄔㄨ ㄇㄣˊ,ménkǒu bùmén chūmén,门,1201,400
問,ask,ㄨㄣ`,wèn,日弓口,"ask (about), inquire after",請問 問題 訪問,ㄑㄧㄥˇㄨㄣ`  ㄨㄣ`ㄊㄧˊ  ㄈㄤˇㄨㄣ`,qǐngwèn wèntí fǎngwèn,问,1204,39
三,three,ㄙㄢ,sān,一一一,three,三明治 三角形 再三,ㄙㄢ ㄇㄧㄥˊㄓ`  ㄙㄢ ㄐㄧㄠˇㄒㄧㄥˊ  ㄗㄞ`ㄙㄢ ,sānmíngzhì sānjiǎoxíng zàisān,,3,111
生,life,ㄕㄥ,shēng,竹手一,"life, living, lifetime; birth",學生 先生 生日,ㄒㄩㄝˊㄕㄥ˙  ㄒㄧㄢ ㄕㄥ˙  ㄕㄥ ㄖ`,xuésheng Xiānsheng shēngrì,,1163,40
提,bring up,ㄊㄧˊ,tí,手日一人,hold in hand; lift in hand,提到 提高 提供,ㄊㄧˊㄉㄠ`  ㄊㄧˊㄍㄠ   ㄊㄧˊㄍㄨㄥ ,tídào tígāo tígōng,,563,41
下,below,ㄒㄧㄚ`,xià,一卜,"under, underneath, below; down; inferior; bring down",下午 下課 下面,ㄒㄧㄚ`ㄨˇ  ㄒㄧㄚ`ㄎㄜ`  ㄒㄧㄚ`ㄇㄧㄢ`,xiàwǔ xiàkè xiàmiàn,,45,42
過,cross,ㄍㄨㄛ`,guò,卜月月口,"pass, pass through, go across",難過 過年 經過,ㄋㄢˊㄍㄨㄛ`  ㄍㄨㄛ`ㄋㄧㄢˊ  ㄐㄧㄥ ㄍㄨㄛ`,nánguò guònián jīngguò,过,980,43
員,employee,ㄩㄢˊ,yuán,口月山金,"member; personnel, staff member",服務員 店員 球員,ㄈㄨˊㄨ`ㄩㄢˊ  ㄉㄧㄢ`ㄩㄢˊ  ㄑㄧㄡˊㄩㄢˊ,fúwùyuán diànyuán qiúyuán,员,54,345
圓,round,ㄩㄢˊ,yuán,田口月金,"circle; round, circular; complete",團圓 圓滿 圓形,ㄊㄨㄢˊㄩㄢˊ  ㄩㄢˊㄇㄢˇ  ㄩㄢˊㄒㄧㄥˊ,tuányuán yuánmǎn yuánxíng,圆,517,1126
青,blue or green,ㄑㄧㄥ,qīng,手一月,"blue, green, black; young",青菜 青年 青少年,ㄑㄧㄥ ㄘㄞ`  ㄑㄧㄥ ㄋㄧㄢˊ  ㄑㄧㄥ ㄕㄠ`ㄋㄧㄢˊ,qīngcài qīngnián qīngshàonián,,1151,689
請,invite,ㄑㄧㄥˇ,qǐng,卜口手一月,"ask, request; invite; please",請問 請假 請客,ㄑㄧㄥˇㄨㄣ`  ㄑㄧㄥˇㄐㄧㄚ`  ㄑㄧㄥˇㄎㄜ`,qǐngwèn qǐngjià qǐngkè,请,1153,44
們,(plural),ㄇㄣ˙,men,人日弓,adjunct pronoun indicate plural,我們 你們 他們,ㄨㄛˇㄇㄣ˙  ㄋㄧˇㄇㄣ˙  ㄊㄚ ㄇㄣ˙,wǒmen nǐmen tāmen,们,1202,45
天,heavens,ㄊㄧㄢ,tiān,一大,"sky, heaven; god, celestial",今天 明天 昨天,ㄐㄧㄣ ㄊㄧㄢ   ㄇㄧㄥˊㄊㄧㄢ   ㄗㄨㄛˊㄊㄧㄢ ,jīntiān míngtiān zuótiān,,403,46
戶,door,ㄏㄨ`,hù,竹尸,"door; family, household",窗戶 戶外 開戶,ㄔㄨㄤ ㄏㄨ˙  ㄏㄨ`ㄨㄞ`  ㄎㄞ ㄏㄨ`,chuānghu hùwài kāihù,户,830,1368
斤,catty,ㄐㄧㄣ,jīn,竹一中,"a catty (approximately 500 g); an axe; keen, shrewd; KangXi radical number 69",公斤,ㄍㄨㄥ ㄐㄧㄣ ,gōngjīn,,856,2379
所,place,ㄙㄨㄛˇ,suǒ,竹尸竹一中,"place, location; numerary adjunct",所以 廁所 所有,ㄙㄨㄛˇㄧˇ  ㄘㄜ`ㄙㄨㄛˇ  ㄙㄨㄛˇㄧㄡˇ,suǒyǐ cèsuǒ suǒyǒu,,857,47
夕,evening,ㄒㄧ,xī,弓戈,"evening, night, dusk; slanted",除夕,ㄔㄨˊㄒㄧ ,Chúxī,,108,1754
多,many,ㄉㄨㄛ,duō,弓戈弓戈,"much, many; more than, over",多少 差不多 許多,ㄉㄨㄛ ㄕㄠˇ  ㄔㄚ`ㄅㄨ˙ㄉㄨㄛ   ㄒㄩˇㄉㄨㄛ ,duōshǎo chàbuduō xǔduō,,109,48
林,woods,ㄌㄧㄣˊ,lín,木木,"forest, grove; surname",森林 樹林 園林,ㄙㄣ ㄌㄧㄣˊ  ㄕㄨ`ㄌㄧㄣˊ  ㄩㄢˊㄌㄧㄣˊ,sēnlín Shùlín yuánlín,,192,321
麻,hemp,ㄇㄚˊ,má,戈十金金,"hemp, jute, flax; sesame",麻煩 麻雀 麻醉,ㄇㄚˊㄈㄢ˙  ㄇㄚˊㄑㄩㄝ`  ㄇㄚˊㄗㄨㄟ`,máfan máquè mázuì,,528,898
麼,(suffix),ㄇㄜ˙,me,戈木女戈,"interrogative final particle; insignificant, small, tiny",什麼 怎麼樣 為什麼,ㄕㄣˊㄇㄜ˙  ㄗㄣˇㄇㄜ˙ㄧㄤ`  ㄨㄟ`ㄕㄣˊㄇㄜ˙,shénme zěnmeyàng wèishénme,么,1038,49
王,king,ㄨㄤˊ,wáng,一土,"king, ruler; royal; surname",國王,ㄍㄨㄛˊㄨㄤˊ,guówáng,,248,319
主,lord,ㄓㄨˇ,zhǔ,卜土,"master, chief owner; host; lord",為主 主動 主婦,ㄨㄟˊㄓㄨˇ  ㄓㄨˇㄉㄨㄥ`  ㄓㄨˇㄈㄨ`,wéizhǔ zhǔdòng zhǔfù,,259,161
之,of,ㄓ,zhī,戈弓人,"marks preceding phrase as modifier of following phrase; it, him her, them; go to",之後 之間 之前,ㄓ ㄏㄡ`  ㄓ ㄐㄧㄢ   ㄓ ㄑㄧㄢˊ,zhīhòu zhījiān zhīqián,,921,51
心,heart,ㄒㄧㄣ,xīn,心,"heart; mind, intelligence; soul",小心 開心 擔心,ㄒㄧㄠˇㄒㄧㄣ   ㄎㄞ ㄒㄧㄣ   ㄉㄢ ㄒㄧㄣ ,xiǎoxīn kāixīn dānxīn,,529,68
相,one another,ㄒㄧㄤ,xiāng,木月山,"mutual, reciprocal, each other",照相機 照相 相信,ㄓㄠ`ㄒㄧㄤ`ㄐㄧ   ㄓㄠ`ㄒㄧㄤ`  ㄒㄧㄤ ㄒㄧㄣ`,zhàoxiàngjī zhàoxiàng xiāngxìn,,199,160
想,think,ㄒㄧㄤˇ,xiǎng,木山心,"think, speculate, plan, consider",感想 回想 理想,ㄍㄢˇㄒㄧㄤˇ  ㄏㄨㄟˊㄒㄧㄤˇ  ㄌㄧˇㄒㄧㄤˇ,gǎnxiǎng huíxiǎng lǐxiǎng,,537,52
旦,daybreak,ㄉㄢ`,dàn,日一,dawn; morning; day,一旦 元旦,ㄧ ㄉㄢ`  ㄩㄢˊㄉㄢ`,yīdàn Yuándàn,,29,1629
